channel_name,subscribers,category,views_counts,video_count,started_year,rank
"
spider-maaaaaaan / ã¹ãã¤ãã¼ã¡ã¼ã³
    ","14,600,000",,"10,371,338,470","1,523",2022,75
"
Desi Music Factory
    ","33,700,000",Music,"10,345,629,101",130,2014,76
"
Sun Bangla
    ","9,380,000",Entertainment,"10,241,772,725","24,163",2018,77
"
V6 News Telugu
    ","9,540,000",News & Politics,"10,229,350,331","277,370",2013,78
"
Thanthi TV
    ","9,020,000",News & Politics,"10,170,790,251","337,628",2012,79
"
TV9 Telugu Live
    ","10,900,000",Entertainment,"9,947,891,684","294,300",2011,80
"
Volga Video
    ","16,000,000",Film & Animation,"9,932,517,649","17,003",2012,81
"
SriBalajiMovies
    ","17,300,000",Entertainment,"9,899,711,311","21,828",2011,82
"
A2 Motivation by Arvind Arora
    ","16,200,000",Entertainment,"9,861,413,223","3,515",2017,83
"
Green Gold TV - Official Channel
    ","20,300,000",Film & Animation,"9,788,616,366","1,654",2011,84
"
Akshay Nagwadiya
    ","29,600,000",Entertainment,"9,745,480,216",710,2017,85
"
Prime Video India
    ","19,000,000",Entertainment,"9,743,183,327","8,289",2016,86
"
The geeta gurjar
    ","15,800,000",,"9,692,719,244",940,2021,87
"
Aayu and Pihu Show
    ","17,100,000",Comedy,"9,684,400,923",470,2017,88
"
Republic Bharat
    ","18,800,000",News & Politics,"9,663,115,315","115,019",2019,89
"
Manorama News
    ","8,380,000",News & Politics,"9,620,508,347","443,686",2014,90
"
Goldmines Bollywood
    ","27,900,000",Film & Animation,"9,168,481,453","3,998",2015,91
"
Goldmines Dishoom
    ","29,300,000",Film & Animation,"9,149,470,477","4,235",2016,92
"
THE BROWN SIBLINGS
    ","15,700,000",Entertainment,"9,051,073,598","1,095",2016,93
"
STAR à¤­à¤¾à¤°à¤¤
    ","12,600,000",People & Blogs,"9,048,963,932","18,298",2007,94
"
Pop Chartbusters
    ","17,400,000",Music,"9,032,679,564","2,256",2011,95
"
VENDY YADUWANSHI
    ","12,800,000",Entertainment,"9,013,236,347",924,2020,96
"
News 24
    ","18,300,000",News & Politics,"8,985,551,754","248,897",2014,97
"
jaanvi patel
    ","20,600,000",People & Blogs,"8,972,596,442",542,2018,98
"
Vijay Kumar Viner Vlogs
    ","16,400,000",Entertainment,"8,844,845,174","1,580",2019,99
