channel_name,subscribers,category,views_counts,video_count,started_year,rank
"
Mathrubhumi News
    ","4,140,000",News & Politics,"3,614,047,191","169,012",2013,309
"
90's Gaane
    ","8,090,000",Music,"3,607,538,196",627,2019,310
"
Crime Tak
    ","8,380,000",News & Politics,"3,601,236,960","21,759",2018,311
"
Triggered Insaan
    ","20,700,000",Comedy,"3,599,224,164",314,2014,312
"
Muzik247
    ","5,830,000",Music,"3,586,433,274","2,620",2014,313
"
Geetha Arts 
    ","6,110,000",Entertainment,"3,575,878,171","4,439",2008,314
"
Mr Gyani Facts
    ","5,920,000",,"3,573,574,292",452,2020,315
"
BakLol Video
    ","11,600,000",Entertainment,"3,572,380,909",334,2016,316
"
Mridul Madhok
    ","8,430,000",Education,"3,554,170,359","3,140",2010,317
"
Nav Haryanvi
    ","9,650,000",Music,"3,538,360,005",795,2017,318
"
Anaysa
    ","13,500,000",Howto & Style,"3,529,113,685",643,2012,319
"
Technical Guruji
    ","23,300,000",Science & Technology,"3,511,878,665","5,212",2015,320
"
The Live Tv
    ","7,230,000",News & Politics,"3,490,413,903","11,516",2018,321
"
CarryMinati
    ","40,600,000",Comedy,"3,489,497,404",189,2014,322
"
REHKAN OFFICIAL
    ","6,060,000",People & Blogs,"3,486,700,122","1,245",2018,323
"
Kia India
    ","428,000",,"3,440,340,439",522,2017,324
"
foodies aao
    ","5,060,000",People & Blogs,"3,436,280,556",934,2020,325
"
Saregama Tamil
    ","6,600,000",Music,"3,418,217,244","7,775",2012,326
"
Ambey Bhakti
    ","10,800,000",Music,"3,407,331,055","5,949",2013,327
"
Pen Multiplex
    ","11,800,000",Film & Animation,"3,405,067,813","2,858",2015,328
"
Amazon India
    ","1,540,000",Entertainment,"3,404,855,381","1,555",2013,329
"
Angle Music Official Channel
    ","8,890,000",Entertainment,"3,393,349,987","13,986",2014,330
"
Ur SmartMaker Shorts
    ","8,060,000",People & Blogs,"3,386,557,259",169,2018,331
"
Shemaroo TV
    ","7,350,000",People & Blogs,"3,377,018,096","8,712",2020,332
"
Wunderbar Films
    ","5,850,000",Film & Animation,"3,366,325,854",710,2014,333
"
MS KOMAL
    ","9,180,000",People & Blogs,"3,349,776,358",502,2022,334
"
TIMES NOW Navbharat
    ","7,250,000",News & Politics,"3,349,438,036","78,730",2021,335
"
tiyaa_ningwal_official
    ","10,400,000",Entertainment,"3,341,004,837",579,2016,336
"
Wow Kidz Comedy
    ","9,440,000",Film & Animation,"3,330,844,994","2,479",2017,337
"
Ayush Yadav
    ","5,820,000",Entertainment,"3,324,330,611",660,2014,338
"
IR GAMES
    ","7,420,000",Gaming,"3,314,606,938","1,765",2017,339
"
rjkarishma
    ","6,120,000",People & Blogs,"3,313,690,858",232,2013,340
"
National Dastak
    ","8,640,000",News & Politics,"3,312,028,436","39,958",2015,341
"
Awadhesh Premi Official
    ","8,520,000",,"3,307,188,638","1,463",2018,342
"
Funcho Shorts
    ","5,610,000",People & Blogs,"3,301,916,519",350,2021,343
"
Frostbite Gaming
    ","5,200,000",,"3,301,733,975","2,028",2014,344
"
Colors Kannada
    ","3,900,000",Entertainment,"3,291,064,634","83,906",2010,345
"
RDC Rajasthani
    ","8,000,000",Music,"3,274,303,820","13,915",2013,346
"
Sadiq Ahmed Vines
    ","9,410,000",Entertainment,"3,266,616,786",550,2022,347
"
Maneesh Vishnu
    ","4,270,000",People & Blogs,"3,260,398,029",755,2020,348
"
Scary Teacher 3D Gaming
    ","5,570,000",Gaming,"3,258,764,197",574,2018,349
"
Eskay Movies
    ","6,110,000",Film & Animation,"3,254,254,950","3,184",2016,350
"
Round2hell
    ","31,500,000",Comedy,"3,232,814,105",67,2016,351
"
RK Rajani Kaushal
    ","3,970,000",Entertainment,"3,227,370,326","8,939",2018,352
"
Sports Tak
    ","6,980,000",Sports,"3,218,909,714","34,255",2017,353
"
Mythpat
    ","14,200,000",Entertainment,"3,206,248,766",380,2018,354
"
NewsFirst Kannada
    ","3,070,000",News & Politics,"3,202,544,120","111,839",2018,355
"
Humble Music
    ","8,650,000",Music,"3,195,546,918",615,2017,356
"
Salonayyy
    ","5,780,000",Comedy,"3,192,894,801",689,2019,357
"
COMMANDO ACADEMY PHYSICAL
    ","4,610,000",Sports,"3,172,136,161","2,876",2021,358
"
King of Cubers
    ","11,900,000",Howto & Style,"3,169,922,456",368,2019,359
"
Himesh Reshammiya Melodies
    ","8,360,000",Music,"3,157,399,798",324,2020,360
"
DEV Ke Facts
    ","15,400,000",,"3,136,696,123",316,2012,361
"
Tech FC Shorts
    ","6,280,000",Science & Technology,"3,132,946,276",400,2018,362
"
10TV News Telugu
    ","3,780,000",News & Politics,"3,116,816,929","201,806",2013,363
"
Wait For It
    ","5,820,000",Entertainment,"3,114,784,126",364,2022,364
"
Khesari Music World
    ","8,980,000",Music,"3,112,523,110",682,2017,365
"
Sonotek Punjabi
    ","8,450,000",People & Blogs,"3,112,037,177","1,608",2017,366
"
Being Suku
    ","4,790,000",Entertainment,"3,110,888,066",450,2020,367
"
HD Songs Bollywood
    ","9,810,000",Music,"3,109,167,524",709,2015,368
"
Gaane Naye Purane
    ","7,900,000",Music,"3,108,705,037","2,710",2013,369
"
sonu.indoriii
    ","8,150,000",Comedy,"3,104,872,776",531,2013,370
"
Aniruddhacharya ji
    ","12,500,000",,"3,072,383,196","6,122",2017,371
"
wifistudy by Unacademy
    ","15,900,000",Education,"3,061,976,159","53,387",2014,372
"
Zee Music South
    ","5,750,000",Music,"3,060,175,218","1,522",2015,373
"
News18 Punjab/Haryana/Himachal
    ","5,450,000",People & Blogs,"3,047,852,470","157,894",2015,374
"
BabyBus - à¤¬à¤à¥à¤à¥à¤ à¤à¥ à¤à¥à¤¤&à¤à¤¾à¤°à¥à¤à¥à¤¨ à¤à¤¨à¥à¤®à¥à¤¶à¤¨
    ","6,910,000",Education,"3,047,664,322",551,2020,375
"
NishaMadhulika
    ","13,900,000",Howto & Style,"3,031,534,146","2,195",2009,376
"
Eros Now Movies Preview
    ","6,750,000",Entertainment,"3,031,460,615","1,734",2012,377
"
Super Se Uper Vlogs
    ","2,530,000",People & Blogs,"3,029,502,581","10,920",2022,378
"
Pramod`s Life
    ","6,680,000",Autos & Vehicles,"3,024,107,893",350,2015,379
"
Lakhneet Vlogs
    ","5,940,000",People & Blogs,"3,012,420,717","1,963",2020,380
"
Disney India
    ","5,640,000",Shows,"3,011,445,826","2,564",2010,381
"
Kiran Family Official
    ","3,240,000",Entertainment,"3,002,467,742","3,380",2022,382
"
Kuldeep Singhania Shorts
    ","7,410,000",People & Blogs,"3,001,333,554",880,2021,383
"
Kabita's Kitchen
    ","13,500,000",Howto & Style,"2,998,610,494","1,608",2014,384
"
Ankush Raja Official
    ","7,630,000",Music,"2,973,589,878",129,2018,385
"
Green Gold Kids
    ","7,180,000",Film & Animation,"2,964,633,174","1,473",2015,386
"
Sanjivani Music
    ","6,720,000",Music,"2,963,732,197","17,148",2011,387
"
Sanjot Nagi
    ","6,510,000",People & Blogs,"2,962,477,498","1,012",2013,388
"
ZHC
    ","26,100,000",Film & Animation,"2,952,987,558",321,2013,389
"
Shemaroo Bhakti
    ","11,500,000",Entertainment,"2,942,494,782","4,487",2009,390
"
India Today
    ","7,990,000",News & Politics,"2,939,157,565","161,973",2015,391
"
AS Gaming
    ","20,000,000",Gaming,"2,930,099,369","1,364",2016,392
"
Live Hindustan
    ","6,730,000",News & Politics,"2,929,804,637","56,919",2015,393
"
Megha Chaube Shorts
    ","5,610,000",People & Blogs,"2,920,616,579",682,2020,394
"
Filmy Duniya
    ","10,400,000",Entertainment,"2,916,573,435","2,022",2019,395
"
With Love Nagaraj Sangeetha
    ","4,820,000",People & Blogs,"2,916,517,006",736,2013,396
"
Colors
    ","3,690,000",Entertainment,"2,915,165,405","11,650",2015,397
"
Neha Sahani
    ","10,800,000",Entertainment,"2,911,105,355",817,2018,398
"
Chattambees
    ","3,860,000",Comedy,"2,911,050,596",625,2020,399
"
Al Jasar Siddiqui
    ","7,580,000",Entertainment,"2,908,916,896","1,301",2017,400
"
Mohak Meet
    ","7,770,000",Comedy,"2,898,037,653","1,004",2012,401
"
WooHoo India
    ","5,800,000",,"2,883,166,157","1,110",2019,402
"
Anil Kumar Masani
    ","4,530,000",People & Blogs,"2,882,404,939",496,2013,403
"
Kaumudy
    ","4,900,000",Entertainment,"2,874,342,138","64,669",2011,404
"
Kunal monu
    ","7,520,000",Entertainment,"2,871,132,192","1,572",2018,405
"
Raghav Digital
    ","7,140,000",Music,"2,862,187,297",106,2017,406
"
ABP Ganga
    ","4,950,000",News & Politics,"2,859,108,295","146,880",2019,407
"
realme India
    ","3,720,000",Science & Technology,"2,858,663,962",940,2018,408
"
Dil Raju
    ","5,020,000",Film & Animation,"2,849,630,183","2,169",2007,409
"
Surinder  Films
    ","5,150,000",Music,"2,831,439,146","1,081",2014,410
"
Little Talks
    ","3,280,000",Entertainment,"2,829,680,996","21,252",2018,411
"
Voice of Heart Music
    ","7,000,000",Music,"2,824,666,847","1,127",2015,412
"
Switch
    ","7,690,000",News & Politics,"2,823,790,548","87,809",2015,413
"
Earth fact in à¤¹à¤¿à¤¨à¥à¤¦à¥
    ","3,900,000",Education,"2,818,418,624",494,2021,414
"
Zoya Sheikh
    ","10,000,000",People & Blogs,"2,814,517,490",465,2018,415
"
RSMSA
    ","4,050,000",Education,"2,781,811,016",566,2019,416
"
Sp Aditya
    ","9,380,000",,"2,778,117,113",667,2022,417
"
Bob The Train - Nursery Rhymes & Cartoons for Kids
    ","5,730,000",People & Blogs,"2,766,879,151","1,084",2015,418
"
Bollywood Chronicle
    ","3,150,000",Entertainment,"2,760,590,037","25,597",2017,419
"
bhura_turkish_755
    ","5,880,000",Music,"2,756,520,537",754,2019,420
"
Aamchi Mumbai
    ","4,040,000",People & Blogs,"2,754,145,760","1,120",2015,421
"
Utkarsh Classes
    ","12,200,000",Education,"2,746,179,800","10,200",2012,422
"
Oye Indori - Ab Hasega India
    ","7,810,000",Entertainment,"2,743,308,457",254,2017,423
"
Anand Mandal Shorts
    ","7,000,000",,"2,741,247,072",739,2021,424
"
Goldmines Cineplex
    ","23,500,000",Film & Animation,"2,737,614,779","3,722",2015,425
"
Oru Al Mallu Family
    ","2,940,000",People & Blogs,"2,727,062,795",859,2021,426
"
Bollywood Spy
    ","6,020,000",Entertainment,"2,726,624,385","73,522",2016,427
"
Bharat Tak
    ","6,320,000",People & Blogs,"2,722,223,513","30,757",2017,428
"
Canal IN
    ","16,100,000",People & Blogs,"2,720,168,295",722,2017,429
"
Jahaann
    ","4,560,000",Entertainment,"2,718,636,751",730,2017,430
"
Telly Reporter
    ","4,420,000",Entertainment,"2,717,001,925","44,832",2016,431
"
Hindi stories
    ","8,880,000",Education,"2,711,629,552",360,2011,432
"
Jagriti Pahwa
    ","4,700,000",Comedy,"2,710,748,884",404,2012,433
"
Supertone Digital
    ","9,880,000",Music,"2,699,375,521","1,930",2013,434
"
Tonde Gamer
    ","11,300,000",Gaming,"2,698,863,831","2,422",2019,435
"
Murliwale Hausla
    ","8,940,000",,"2,697,779,146",707,2019,436
"
Professor Of How
    ","9,760,000",Film & Animation,"2,696,889,130",207,2017,437
"
Mukul Sona MS
    ","4,810,000",Entertainment,"2,694,089,669",899,2017,438
"
White Hill Dhaakad
    ","6,050,000",Music,"2,692,182,520","1,486",2019,439
"
Pavan Ramyaâ¤ï¸
    ","3,040,000",People & Blogs,"2,666,377,935",443,2020,440
"
SHAIKH KHUSHI
    ","4,470,000",,"2,661,678,583","5,209",2016,441
"
Saregama Bengali
    ","6,550,000",Music,"2,656,642,170","7,399",2011,442
"
Home Bollywud
    ","6,160,000",Entertainment,"2,654,824,999","7,415",2018,443
"
The Formal Edit
    ","5,320,000",Howto & Style,"2,653,758,507",864,2017,444
"
Wamindia Movies
    ","11,500,000",Film & Animation,"2,652,296,363",593,2012,445
"
Kids Planet
    ","4,640,000",Education,"2,650,772,755",541,2014,446
"
Shahid paneer
    ","6,400,000",Comedy,"2,650,491,454",501,2022,447
"
Miss Matured
    ","3,280,000",,"2,639,023,138",530,2021,448
"
Vivekanand Tiwari The Traffic cop
    ","5,980,000",Education,"2,636,688,704",895,2021,449
"
Headlines India
    ","8,110,000",News & Politics,"2,628,771,893","12,194",2016,450
"
Golden unique boy
    ","7,310,000",Entertainment,"2,619,105,943",590,2016,451
"
Rimorav Vlogs
    ","6,740,000",Entertainment,"2,610,467,508",517,2017,452
"
Sakshi TV
    ","3,320,000",News & Politics,"2,598,760,081","211,718",2014,453
"
Aditya Music Telugu
    ","5,500,000",Music,"2,597,913,445","2,544",2014,454
"
Viralbollywood
    ","5,660,000",Entertainment,"2,596,462,985","35,393",2014,455
"
Aaj Tak HD
    ","6,580,000",News & Politics,"2,590,627,951","88,078",2018,456
"
Sanam
    ","11,000,000",Music,"2,574,814,180",148,2012,457
"
RCM Bhojpuri Hit
    ","9,200,000",Film & Animation,"2,570,195,884","9,833",2016,458
"
Bhakti Dhara
    ","10,000,000",Music,"2,568,960,763","5,670",2011,459
"
TeAm STARS
    ","5,510,000",Entertainment,"2,567,826,421",476,2020,460
"
FirstCry TV
    ","109,000",,"2,553,996,430","2,800",2019,461
"
Star Studios
    ","6,110,000",Entertainment,"2,544,441,501",933,2014,462
"
RKworld
    ","3,990,000",Comedy,"2,544,311,525",353,2020,463
"
ABC - All Babies Channel
    ","5,870,000",Education,"2,542,619,386","1,061",2014,464
"
Studio Saraswati Official
    ","7,450,000",Music,"2,541,045,280","2,123",2014,465
"
Anandi Official
    ","1,880,000",Entertainment,"2,540,855,888","5,991",2022,466
"
Shruti Arjun Anand
    ","10,200,000",Howto & Style,"2,538,551,022",860,2010,467
"
MrMiko 2.0
    ","6,490,000",People & Blogs,"2,526,574,240",178,2022,468
"
Mirza fact
    ","8,500,000",,"2,523,111,359",958,2021,469
"
Pulkit shukla TD
    ","7,670,000",People & Blogs,"2,521,567,499",697,2015,470
"
Meeth _Miri
    ","3,050,000",Comedy,"2,520,826,658",999,2009,471
"
 Star Suvarna
    ","2,260,000",Entertainment,"2,512,988,616","55,258",2006,472
"
Star Sports
    ","6,570,000",Sports,"2,499,083,009","16,845",2006,473
"
Rajshri Marathi
    ","4,640,000",Music,"2,489,365,290","19,142",2009,474
"
JioCinema
    ","4,890,000",Sports,"2,488,384,262","7,804",2016,475
"
Rojukoka Kadha
    ","3,980,000",,"2,488,104,360",479,2014,476
"
Shemaroo Gujarati
    ","5,120,000",Entertainment,"2,484,879,645","7,471",2009,477
"
Bollywood Premium
    ","9,060,000",Entertainment,"2,482,079,233",810,2020,478
"
Mango Music
    ","7,430,000",Music,"2,480,891,989","6,943",2006,479
"
iDream Media
    ","4,880,000",Entertainment,"2,477,598,327","73,625",2013,480
"
Cadbury 5 Star India
    ","408,000",Entertainment,"2,477,468,609",227,2011,481
"
Toy Stars
    ","6,960,000",People & Blogs,"2,475,127,410",440,2017,482
"
Magnet Brains
    ","10,600,000",,"2,467,236,017","44,236",2016,483
"
VK News
    ","5,900,000",News & Politics,"2,452,810,840","38,462",2016,484
"
Cartoon Network India
    ","3,560,000",Film & Animation,"2,446,333,081","2,194",2009,485
"
Animal Aid Unlimited, India
    ","7,420,000",,"2,445,329,127",457,2008,486
"
Trakin Tech
    ","13,800,000",Science & Technology,"2,439,380,536","3,753",2011,487
"
bharatzkitchen HINDI
    ","12,700,000",Howto & Style,"2,437,448,229",758,2016,488
"
Sid Akki
    ","3,630,000",Entertainment,"2,434,867,175",566,2016,489
"
Dainik Jagran - à¤¦à¥à¤¨à¤¿à¤ à¤à¤¾à¤à¤°à¤£
    ","6,210,000",News & Politics,"2,431,001,129","53,446",2014,490
"
Ankit Porwal
    ","3,170,000",Education,"2,430,588,605","1,709",2011,491
"
Sony YAY!
    ","5,200,000",Entertainment,"2,428,622,503","1,325",2016,492
"
NDJ MUSIC
    ","6,670,000",Entertainment,"2,424,033,522","7,730",2014,493
"
Angel Bengali Songs
    ","3,850,000",Music,"2,419,330,093","7,579",2006,494
"
Gadgets Cool Home
    ","5,310,000",,"2,416,222,686","3,980",2021,495
"
Wanderers Hub
    ","8,030,000",People & Blogs,"2,414,969,525",346,2016,496
"
API Malayalam Movies
    ","4,050,000",People & Blogs,"2,409,955,917","12,769",2011,497
"
Struggle Jeet
    ","1,980,000",Sports,"2,409,575,379","5,070",2020,498
"
Yashi Films
    ","7,190,000",Music,"2,405,527,084","1,874",2018,499
"
DLS News
    ","19,700,000",News & Politics,"2,398,949,545","5,093",2017,500
"
Rajat shorts !!
    ","7,000,000",Entertainment,"2,398,597,381",634,2017,501
"
Sandeep Maheshwari
    ","28,100,000",People & Blogs,"2,392,950,671",630,2012,502
"
Ashish Bisht
    ","3,210,000",Entertainment,"2,385,915,729",932,2009,503
"
Cook With Parul
    ","8,640,000",Howto & Style,"2,385,203,414","2,112",2017,504
"
Multi DO Hindi
    ","5,500,000",,"2,378,565,265",447,2020,505
"
Tiya & Advik Chathamkulam NimishaRajeesh Vlogs
    ","2,880,000",People & Blogs,"2,366,095,164","1,369",2018,506
"
TOY FACTORY
    ","5,720,000",Education,"2,361,343,093",698,2014,507
"
vivek_veena
    ","2,400,000",Entertainment,"2,359,437,239","1,133",2017,508
"
Pramod Premi Entertainment
    ","5,200,000",,"2,355,268,998",236,2018,509
"
Filipino Fairy Tales
    ","5,180,000",Film & Animation,"2,353,405,078",640,2016,510
"
Gyan Gamingã¤
    ","14,900,000",Gaming,"2,352,380,757","3,393",2017,511
"
Live Insaan
    ","11,100,000",Gaming,"2,347,245,753",454,2017,512
"
Ark
    ","6,330,000",,"2,344,860,972",414,2022,513
"
Desi Records
    ","6,520,000",Music,"2,341,899,201",24,2016,514
"
Agnit Shorts
    ","4,510,000",Entertainment,"2,321,744,248",181,2022,515
"
Studio Sangeeta
    ","6,220,000",Comedy,"2,310,875,019","4,212",2013,516
"
Loku
    ","2,780,000",Music,"2,310,844,477","1,923",2016,517
"
Shani Vishwakarma
    ","5,940,000",People & Blogs,"2,306,590,974",460,2022,518
"
FactTechz
    ","17,600,000",Entertainment,"2,305,561,337",757,2016,519
"
Allari Aarathi
    ","3,910,000",Entertainment,"2,304,720,025",446,2020,520
"
Instant Bollywood
    ","2,860,000",Entertainment,"2,301,631,352","7,086",2020,521
"
Viral Bhayani
    ","5,660,000",Entertainment,"2,300,161,998","17,930",2007,522
"
Harika Panda
    ","1,650,000",Entertainment,"2,298,662,647","1,955",2016,523
"
Khandesh Fun
    ","7,590,000",Comedy,"2,296,186,282",232,2016,524
"
Roshanjamhir5star
    ","5,200,000",Entertainment,"2,287,692,045",808,2021,525
"
JK YADAV FILMS ð· MAITHILI
    ","3,840,000",,"2,282,852,213","6,836",2017,526
"
Aryan Black
    ","6,550,000",People & Blogs,"2,280,719,552",519,2022,527
"
Behindwoods Air 
    ","5,190,000",News & Politics,"2,273,521,248","54,581",2018,528
"
Big Animation
    ","5,350,000",Film & Animation,"2,268,800,245",648,2009,529
"
Samar Singh Official
    ","5,790,000",,"2,268,574,825",415,2018,530
"
World Affairs by Unacademy
    ","3,620,000",,"2,267,667,745","3,753",2020,531
"
Amazing Facts
    ","2,580,000",,"2,259,659,068","12,767",2021,532
"
English Connection
    ","13,100,000",Education,"2,256,552,014","1,321",2015,533
"
TWO SIDE GAMERS
    ","12,300,000",Music,"2,256,426,548","2,063",2018,534
"
BIG Magic
    ","4,300,000",Entertainment,"2,250,447,245","14,486",2013,535
"
Desi Gamers
    ","14,100,000",Gaming,"2,239,006,961","1,376",2015,536
"
Physics Wallah - Alakh Pandey
    ","11,300,000",Education,"2,238,294,908","1,524",2014,537
"
DBeatsMusicWorld
    ","3,950,000",Entertainment,"2,237,240,736","1,128",2013,538
"
NITIN FREE FIRE
    ","13,100,000",Gaming,"2,237,197,772",810,2019,539
"
Republic World
    ","5,830,000",People & Blogs,"2,236,819,606","105,423",2017,540
"
Neha Kakkar
    ","14,300,000",Music,"2,229,838,693",160,2012,541
"
Lidiya Francis
    ","2,840,000",People & Blogs,"2,227,963,755","1,362",2020,542
"
SPEED RECORDS BHOJPURI
    ","6,400,000",Music,"2,227,114,480","2,904",2018,543
"
Raksha ki Rasoi
    ","7,840,000",People & Blogs,"2,218,650,059","2,381",2018,544
"
RKR vines
    ","8,750,000",Entertainment,"2,214,297,191",514,2017,545
"
Live Cities Media Private Limited
    ","5,590,000",News & Politics,"2,213,782,706","74,381",2016,546
"
Jhankar Music
    ","4,520,000",Entertainment,"2,209,905,185","4,853",2010,547
"
Make Joke Of
    ","12,400,000",Comedy,"2,209,509,739",65,2017,548
"
Badshah
    ","7,240,000",Music,"2,208,835,022",172,2014,549
"
Cinekorn Movies
    ","8,520,000",Film & Animation,"2,207,183,268",630,2011,550
"
Aam Aadmi Party
    ","5,010,000",News & Politics,"2,203,669,049","9,365",2011,551
"
Fully Faltoo
    ","3,660,000",Entertainment,"2,203,185,527","10,891",2007,552
"
Harsha Sai - For You Hindi
    ","12,100,000",Entertainment,"2,199,482,764",96,2021,553
"
Khan GS Research Centre
    ","22,000,000",Education,"2,189,208,755",366,2019,554
"
Sambhavna Seth Entertainment
    ","3,550,000",Entertainment,"2,188,910,504","1,797",2014,555
"
Akhil Nrd
    ","3,260,000",People & Blogs,"2,183,151,469","1,650",2015,556
"
Vishwamitra Kingrani
    ","8,550,000",Entertainment,"2,179,085,246",775,2020,557
"
Dream Stories TV
    ","6,930,000",Film & Animation,"2,176,038,830",285,2017,558
"
Achyutha saddikuti
    ","3,080,000",People & Blogs,"2,175,268,363",521,2022,559
"
Hansraj Raghuwanshi
    ","11,300,000",Music,"2,174,215,736",101,2016,560
"
Saawariya
    ","5,030,000",Music,"2,162,941,802","4,005",2014,561
"
DB Live
    ","4,180,000",News & Politics,"2,162,190,845","63,455",2016,562
"
Sagar's Kitchen
    ","7,290,000",Howto & Style,"2,161,969,212",497,2021,563
"
Ultra Cinema
    ","7,210,000",Entertainment,"2,161,009,787","3,327",2013,564
"
NewsGlitz Tamil
    ","4,790,000",News & Politics,"2,158,466,196","21,095",2014,565
"
Farmees PortuguÃªs - canÃ§Ã£o infantil e animaÃ§Ã£o
    ","5,800,000",People & Blogs,"2,156,184,999","1,226",2016,566
"
Cinema Vikatan
    ","4,350,000",Entertainment,"2,146,593,473","9,651",2010,567
"
Hindi Countdown
    ","10,200,000",Education,"2,143,597,489",412,2016,568
"
The World Adventures à¤¹à¤¿à¤¨à¥à¤¦à¥
    ","13,300,000",People & Blogs,"2,143,492,670","1,085",2016,569
"
Goldmines Premiere
    ","14,200,000",Entertainment,"2,137,040,792","1,131",2013,570
"
Amar Ujala
    ","5,770,000",News & Politics,"2,136,315,336","76,410",2011,571
"
FOODY VISHAL
    ","3,410,000",People & Blogs,"2,133,302,158","1,117",2016,572
"
Sun NXT
    ","4,660,000",Entertainment,"2,132,270,055","6,476",2017,573
"
Movies Insight Hindi
    ","5,530,000",Entertainment,"2,124,171,913","1,303",2020,574
"
RDC Rajasthani HD
    ","5,660,000",Music,"2,113,497,113","6,012",2014,575
"
Mythri Movie Makers
    ","4,180,000",Entertainment,"2,113,026,595","1,482",2015,576
"
Mintuaa
    ","2,220,000",,"2,101,724,235","1,129",2014,577
"
Natkhat TV Hindi Tales & Rhymes
    ","5,580,000",Film & Animation,"2,095,595,431",726,2016,578
"
Saam TV News
    ","3,320,000",News & Politics,"2,095,357,101","146,361",2009,579
"
Rang TV
    ","2,130,000",Entertainment,"2,095,200,123","25,129",2016,580
"
Wake'N'Bite
    ","4,490,000",,"2,092,633,456","1,301",2017,581
"
Shemaroo Bhakti Darshan
    ","5,330,000",Entertainment,"2,090,457,730","6,806",2011,582
"
Kalinga TV
    ","3,030,000",News & Politics,"2,088,324,742","197,566",2015,583
"
OnePlus India
    ","4,620,000",Science & Technology,"2,087,660,195",638,2016,584
"
Slayy Point
    ","8,170,000",Entertainment,"2,086,640,918",165,2016,585
"
News18 UP Uttarakhand
    ","5,510,000",News & Politics,"2,082,247,046","136,840",2010,586
"
Filmistaan
    ","7,900,000",Film & Animation,"2,076,985,685",135,2016,587
"
Mohak Narang
    ","4,550,000",Education,"2,074,950,859",391,2016,588
"
Behindwoods O2
    ","2,810,000",Film & Animation,"2,071,974,444","9,288",2021,589
"
Vision Time Tamil
    ","3,200,000",Shows,"2,059,476,620","11,639",2013,590
"
TechBurner Shorts
    ","5,330,000",Science & Technology,"2,059,036,797",421,2021,591
"
Mana Stars
    ","2,670,000",Entertainment,"2,058,848,241","23,497",2018,592
"
Dhruv Rathee
    ","13,700,000",Entertainment,"2,056,640,277",582,2013,593
"
SoSorry
    ","5,260,000",Comedy,"2,055,516,195","1,246",2013,594
"
Micky Makeover
    ","2,940,000",Comedy,"2,054,768,215",923,2016,595
"
 Knowledge Tv à¤¹à¤¿à¤¨à¥à¤¦à¥
    ","13,300,000",People & Blogs,"2,054,026,540","3,354",2014,596
"
Prashant Sharma Entertainment
    ","10,000,000",People & Blogs,"2,052,172,437",522,2016,597
"
Harshit Dongre
    ","8,090,000",Gaming,"2,045,609,300",277,2018,598
"
L I S A creation
    ","4,110,000",,"2,043,476,717",803,2019,599
"
B4U Bhojpuri
    ","4,820,000",Film & Animation,"2,040,571,574","1,576",2017,600
"
mr_shadab _72
    ","4,280,000",Education,"2,039,428,683",787,2019,601
"
Colgate India
    ","1,190,000",People & Blogs,"2,031,114,157","1,343",2012,602
"
KSHITIJ DHOLAKIA
    ","4,750,000",People & Blogs,"2,020,155,465",654,2016,603
"
TARANG MUSIC
    ","5,390,000",Music,"2,018,500,094","4,297",2012,604
"
Behindwoods Max
    ","1,560,000",Film & Animation,"2,018,039,934","23,263",2019,605
"
BeastBoyShub
    ","6,120,000",Gaming,"2,014,497,383","1,436",2015,606
"
Shemaroo Movie in Parts
    ","5,560,000",Entertainment,"2,012,635,820","7,238",2014,607
"
FilmiBeat
    ","4,970,000",Entertainment,"2,006,122,283","76,840",2015,608
"
Lena Slime
    ","6,410,000",People & Blogs,"2,001,127,612","1,247",2018,609
"
Colors Tamil
    ","3,450,000",Entertainment,"1,996,941,571","39,649",2018,610
"
Fact Danish
    ","6,630,000",,"1,996,206,016",751,2021,611
"
Amazon miniTV
    ","1,390,000",Entertainment,"1,992,191,721","5,860",2021,612
"
Ekta Sound
    ","4,740,000",Music,"1,991,288,388","2,014",2014,613
"
Star Music India
    ","3,080,000",Music,"1,988,729,776",974,2013,614
"
Kiddiestv Bangla
    ","4,990,000",Education,"1,988,538,251",143,2017,615
"
à¤à¤à¤¾à¤°à¥à¤¯ à¤ªà¥à¤°à¤¶à¤¾à¤¨à¥à¤¤ - Acharya Prashant
    ","21,700,000",,"1,984,108,709","8,858",2014,616
"
Adventures of Kicko & Super Speedo
    ","4,780,000",,"1,983,450,737",387,2019,617
"
Wildlife Adventure In à¤¹à¤¿à¤¨à¥à¤¦à¥
    ","6,040,000",,"1,978,256,096",387,2020,618
"
G M Dance Centre
    ","5,800,000",Entertainment,"1,973,587,556",253,2015,619
"
Pihoozz
    ","4,000,000",,"1,968,307,414",440,2019,620
"
Riddhi Music World.
    ","5,090,000",Music,"1,967,481,188",270,2018,621
"
Iconic fun
    ","2,790,000",,"1,966,842,676","2,756",2020,622
"
Crown Records
    ","5,540,000",Music,"1,965,552,614",231,2015,623
"
Asian Paints
    ","1,140,000",Howto & Style,"1,963,005,162","1,972",2011,624
"
LOKMAT
    ","2,790,000",News & Politics,"1,962,788,682","34,074",2011,625
"
Gulzaar Chhaniwala
    ","8,240,000",Music,"1,960,204,687",89,2018,626
"
Funyaasi
    ","3,730,000",Entertainment,"1,958,336,437",380,2021,627
"
Arun Karthick
    ","3,620,000",Entertainment,"1,958,006,663",817,2020,628
